"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.901428885E2,4.736414533E1,8.512092309E0,4.351898121E2,2.358880663E0,1.010153629E2,1.173353977E1,7.482778826E0
1.911428932E2,4.736414170E1,8.512141141E0,4.345042894E2,2.977915017E0,1.011647708E2,1.140577457E1,7.531416238E0
1.921428985E2,4.736414060E1,8.512163695E0,4.340911205E2,2.314484623E0,1.014585904E2,1.111070383E1,7.345050563E0
1.931429036E2,4.736412986E1,8.512194077E0,4.339984340E2,2.164449305E0,1.074598339E2,1.087275924E1,7.329265710E0
1.941429083E2,4.736412646E1,8.512224391E0,4.342079941E2,2.020141529E0,1.059404048E2,1.054348223E1,7.477588226E0
1.951429134E2,4.736412346E1,8.512250264E0,4.337567233E2,1.900847686E0,1.022413507E2,1.024544671E1,7.404235975E0
1.961429183E2,4.736411200E1,8.512290148E0,4.340144927E2,2.366448138E0,1.053474880E2,9.921906460E0,7.281774309E0
1.971429234E2,4.736410579E1,8.512325510E0,4.329785050E2,2.393256995E0,1.026113433E2,9.557489182E0,7.025308037E0
1.981429276E2,4.736409927E1,8.512351391E0,4.330236954E2,2.260016878E0,9.981792651E1,9.532774985E0,7.019701910E0
1.991429326E2,4.736410047E1,8.512377915E0,4.328575813E2,2.115392336E0,9.353274206E1,9.245455988E0,6.587466905E0
2.001429385E2,4.736409458E1,8.512405993E0,4.332644675E2,2.082727845E0,9.864227654E1,9.168057356E0,6.849451156E0
2.011429456E2,4.736408825E1,8.512437503E0,4.328572583E2,2.071789863E0,1.034394699E2,8.924537439E0,6.553163528E0
2.021429502E2,4.736408046E1,8.512471935E0,4.330079458E2,2.194093573E0,1.061631791E2,8.809179270E0,6.550446390E0
2.031429558E2,4.736407060E1,8.512501219E0,4.332803295E2,2.129052149E0,1.110307331E2,8.545904222E0,6.099656487E0
2.041429617E2,4.736407271E1,8.512540543E0,4.332195379E2,2.356980595E0,1.000011171E2,8.595008616E0,6.175578228E0
2.051429669E2,4.736407536E1,8.512575738E0,4.335079170E2,2.363719649E0,9.025002644E1,8.687532574E0,6.179173694E0
2.061429729E2,4.736406127E1,8.512605723E0,4.333636778E2,2.213651231E0,1.044885070E2,8.473025375E0,5.995027620E0
2.071429781E2,4.736406272E1,8.512629990E0,4.331553857E2,1.997725987E0,9.756032235E1,8.252488094E0,5.892664756E0
2.081429841E2,4.736405432E1,8.512662523E0,4.325534770E2,2.067700641E0,1.087910877E2,8.090224615E0,5.735375634E0
2.091429886E2,4.736405255E1,8.512696461E0,4.324876010E2,2.346019706E0,9.881618039E1,7.966359243E0,6.002683424E0
